HS부호,한글품목명,영문품목명
8524999000,기타,Other
8525501000,라디오 방송용,Radio-broadcasting apparatus
8525502000,텔레비전용,Television transmission apparatus
8525509000,기타,Other
8525601000,라디오 방송용,Radio-broadcasting apparatus
8525602000,텔레비전용,Television transmission apparatus
8525609000,기타,Other
8525810000,이 류의 소호주 제1호에 규정된 고속 카메라,High-speed goods as specified in Subheading Note 1 to this Chapter 
8525820000,기타[이 류의 소호주 제2호에 규정된 방사선 강화ㆍ내(耐)방사선 카메라로 한정한다],"Other, radiation-hardened or radiation-tolerant goods as specified in Subheading Note 2 to this Chapter"
8525830000,기타(이 류의 소호주 제3호에 규정된 야간투시 카메라로 한정한다),"Other, night vision goods as specified in Subheading Note 3 to this Chapter "
8525891000,"초소형 특수카메라(필기구, 버튼, 안경, 시계, USB 메모리 등 일상소품이나 다른 전기기기에 장착되었거나 장착되도록 설계제작된 것) ","Micro cameras which are incorprated into or designed to be incorporated into daily goods or other electric appliaces, e.g., writing instruments, buttons, glasses, watches or USB memories"
8525892000,텔레비전 카메라,Television cameras
8525893000,디지털 카메라,Digital Camera
8525899000,기타,Other
8526101000,항공기용,For aircrafts
8526109000,기타,Other
85269110,장중단파 수신기,"HF (high frequency), MF (medium frequency) or LF(low frequency) receiving apparatus"
8526911010,항공기용,For aircrafts
8526911090,기타,Other
85269120,초단파 수신기,VHF (very high frequency) receiving apparatus
8526912010,항공기용,For aircrafts
8526912090,기타,Other
85269130,무선방향 탐지기,Direction finding apparatus
8526913010,항공기용,For aircrafts
8526913020,자동차용,For vehicles
8526913090,기타,Other
8526914000,로란 리시버,Loran receivers
85269190,기타,Other
8526919010,항공기용,For aircrafts
8526919020,자동차용,For vehicles
8526919090,기타,Other
8526920000,무선원격조절기기,Radio remote control apparatus
8527120000,포켓사이즈형 라디오카세트플레이어,Pocket-size radio cassette-players
8527131000,카세트형,Of cassette-type
